timestamp,src_ip,dst_ip,protocol,attack_type,severity,confidence,status
2026-01-07 22:39:50,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 56925.7960, threshold: 5.7983)"
2026-01-07 22:39:50,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 57145.7988, threshold: 5.7983)"
2026-01-07 22:39:50,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 57145.1707, threshold: 5.7983)"
2026-01-07 22:39:50,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 57145.7891, threshold: 5.7983)"
2026-01-07 22:39:51,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 57170.1560, threshold: 5.7983)"
2026-01-07 22:39:51,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 57145.1610, threshold: 5.7983)"
2026-01-07 22:39:51,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 57145.1610, threshold: 5.7983)"
2026-01-07 22:39:51,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 57301.4121, threshold: 5.7983)"
2026-01-07 22:39:51,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 57145.1610, threshold: 5.7983)"
2026-01-07 22:39:52,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 57145.1610, threshold: 5.7983)"
2026-01-07 22:39:52,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 57216.3414, threshold: 5.7983)"
2026-01-07 22:39:52,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 57216.3414, threshold: 5.7983)"
